City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
222,nikolayevsk-on-amure,53.1406,140.73,280.49,98,100,1.34,RU,1718503402
223,tolanaro,-25.0319,46.9987,290.38,81,4,2.71,MG,1718503402
224,labytnangi,66.6572,66.4183,277.25,72,100,3.38,RU,1718503402
225,zhezqazghan,47.7833,67.7667,293.47,60,0,6.0,KZ,1718503402
226,sept-iles,50.2001,-66.3821,288.15,54,75,3.6,CA,1718503273
227,hermanus,-34.4187,19.2345,287.48,88,100,5.02,ZA,1718503256
228,la passe,45.5549,-0.8967,288.28,92,100,7.26,FR,1718503403
229,mount isa,-20.7333,139.5,294.02,40,0,4.12,AU,1718503403
230,greenwood,34.1668,-82.1165,301.57,64,0,4.63,US,1718503160
231,otelu rosu,45.5333,22.3667,287.13,72,1,1.8,RO,1718503403
232,oranjemund,-28.55,16.4333,292.24,31,100,3.04,NA,1718503403
233,harstad,68.799,16.5293,282.81,87,100,1.28,NO,1718503403
234,omdurman,15.6445,32.4777,305.63,37,100,9.43,SD,1718503403
235,narok,-1.0783,35.8601,286.65,95,64,1.22,KE,1718503403
236,mount pearl,47.5166,-52.7813,290.29,94,100,8.75,CA,1718503198
237,sechura,-5.5569,-80.8222,292.39,76,30,6.84,PE,1718503403
238,choyr,46.3611,108.3611,297.11,23,5,3.44,MN,1718503403
239,tateyama,34.9833,139.8667,296.21,83,100,2.63,JP,1718503404
240,bo phloi,14.3236,99.5161,303.87,58,99,3.01,TH,1718503404
241,holualoa,19.6228,-155.9522,298.46,74,38,3.55,US,1718503254
242,arno,60.1167,18.6333,286.36,95,100,7.29,SE,1718503404
243,kapuskasing,49.4169,-82.4331,292.15,55,20,4.63,CA,1718503404
244,yeniseysk,58.4497,92.1703,297.56,59,8,2.24,RU,1718503404
245,pathein,16.7833,94.7333,301.9,80,98,4.47,MM,1718503404
246,bukama,-9.2,25.85,288.61,42,6,1.44,CD,1718503404
247,sinazongwe,-17.2614,27.4618,286.51,57,0,2.44,ZM,1718503404
248,lucerne valley,34.4439,-116.9678,304.72,34,0,3.79,US,1718503405
249,bogorodskoye,56.55,37.8833,289.4,88,10,1.89,RU,1718503405
250,stepnoye,51.4,46.8667,294.57,70,32,3.74,RU,1718503405
251,bure,10.7,37.0667,287.68,87,58,0.94,ET,1718503405
252,palikir - national government center,6.9248,158.1611,304.62,74,75,2.57,FM,1718503405
253,kaiapoi,-43.3783,172.6401,287.08,58,94,6.17,NZ,1718503405
254,cockburn town,21.4612,-71.1419,300.78,81,100,4.27,TC,1718503270
255,porto novo,6.4965,2.6036,297.86,88,100,1.77,BJ,1718503394
256,selfoss,63.9331,-20.9971,283.17,76,97,2.45,IS,1718503315
257,nizhneangarsk,55.7833,109.55,283.71,56,90,1.79,RU,1718503406
258,isangel,-19.55,169.2667,302.21,79,40,3.09,VU,1718503406
259,new shagunnu,10.3396,4.4688,299.55,79,100,2.15,NG,1718503406
260,olinda,-8.0089,-34.8553,298.0,83,75,7.72,BR,1718503223
261,tomar,39.602,-8.4092,287.75,85,28,3.9,PT,1718503406
262,okha,53.5739,142.9478,280.51,89,100,6.71,RU,1718503406
263,sola,-13.8833,167.55,299.19,81,100,2.03,VU,1718503406
264,sergeyevka,53.88,67.4158,296.81,76,58,2.2,KZ,1718503406
265,saint-amand-montrond,46.75,2.5,285.72,90,57,4.41,FR,1718503406
266,benguela,-12.5763,13.4055,293.56,78,54,1.98,AO,1718503406
267,sezanne,48.7205,3.7234,287.03,88,58,5.61,FR,1718503406
268,garhi khairo,28.0606,67.9803,309.42,42,9,4.88,PK,1718503407
269,morehead city,34.7229,-76.726,298.17,76,0,3.09,US,1718503407
270,uniao da vitoria,-26.23,-51.0864,287.66,89,32,0.24,BR,1718503369
271,susuman,62.7833,148.1667,290.36,48,29,5.36,RU,1718503407
272,utrik,11.2278,169.8474,301.48,76,84,6.23,MH,1718503407
273,ma'rib,15.4591,45.3253,300.72,32,11,2.01,YE,1718503407
274,ierapetra,35.01,25.7353,299.34,46,0,4.47,GR,1718503407
275,jinka,5.65,36.65,289.01,85,44,1.54,ET,1718503407
276,progreso,21.2833,-89.6667,297.21,97,58,4.55,MX,1718503407
277,meadow lake,34.8014,-106.5436,304.99,29,8,3.39,US,1718503408
278,mariental,-24.6333,17.9667,284.09,36,0,4.79,NA,1718503408
279,vegreville,53.5001,-112.0518,290.45,43,100,5.66,CA,1718503341
280,kerikeri,-35.2268,173.9474,288.66,86,100,3.05,NZ,1718503408
281,nguigmi,14.2495,13.1092,302.9,54,67,7.03,NE,1718503408
282,whangarei,-35.7317,174.3239,289.26,80,100,2.62,NZ,1718503408
283,bizerte,37.2744,9.8739,299.15,53,40,3.09,TN,1718503408
284,kikuchi,32.9833,130.8167,301.03,69,75,2.57,JP,1718503408
285,talnakh,69.4865,88.3972,274.93,78,62,4.83,RU,1718503233
286,oriximina,-1.7656,-55.8661,299.43,78,94,1.45,BR,1718503408
287,qamdo,31.1667,97.2333,285.02,64,51,2.51,CN,1718503408
